startTime	endTime	startLong	startLat	endLong	endLat	startX	startY	endX	endY	continuedTime	trans_pattern	fileName
1510046126.0	1510046162.0	113.93651399999999	22.535123000000002	113.93650149999999	22.53519558	493380.6572	2493143.946	493367.9542	2493133.529	35	8.0	xy_11070905.txt
1510046162.0	1510046300.0	113.93650149999999	22.53519558	113.93650149999999	22.53519558	493414.6875	2493122.25	493414.6875	2493122.25	139	1.0	xy_11070905.txt
1510046301.0	1510046396.0	113.93650149999999	22.53519558	113.935172	22.53453939	493414.6875	2493122.25	493277.875	2493049.75	96	2.0	xy_11070905.txt
1542618309.0	1542619553.0	113.96776690890593	22.538315138001284	113.89056614281006	22.551469456100488	496631.0	2493466.75	488690.65625	2494927.25	1240	5.0	xixi_11192.txt
1522973392.0	1522973687.0	113.933508	22.52644200000001	113.933407	22.526426	493106.3125	2492153.25	493095.9063	2492151.5	295	1.0	newwk_406.txt
1522973688.0	1522973931.0	113.933407	22.526426	113.9316821	22.52806722	493095.9063	2492151.5	492918.5625	2492333.25	238	2.0	newwk_406.txt
1522973932.0	1522974448.0	113.9316751	22.52807509	113.9316751	22.52807509	492917.8438	2492334.0	492917.8438	2492334.0	412	1.0	newwk_406.txt
1522974449.0	1522974964.0	113.9316751	22.52807509	113.9357737	22.53158556	492917.8438	2492334.0	493339.625	2492722.75	493	2.0	newwk_406.txt
1522974965.0	1522985553.0	113.9357745	22.53158203	113.9357745	22.53158203	493339.7188	2492722.25	493339.7188	2492722.25	10554	1.0	newwk_406.txt
1522985554.0	1522985804.0	113.9357745	22.53158203	113.9342944	22.52961724	493339.7188	2492722.25	493187.375	2492504.75	243	2.0	newwk_406.txt
1522985805.0	1522986564.0	113.9342877	22.52961453	113.9342877	22.52961453	493186.6875	2492504.5	493186.6875	2492504.5	725	1.0	newwk_406.txt
1522986565.0	1522986776.0	113.9342877	22.52961453	113.9357303	22.53149116	493186.6875	2492504.5	493335.1563	2492712.25	210	2.0	newwk_406.txt
1522986777.0	1523006868.0	113.93572179999998	22.53149577	113.9357148	22.53149902	493334.3125	2492712.75	493333.5938	2492713.0	20053	1.0	newwk_406.txt
1523006869.0	1523007395.0	113.9357148	22.53149902	113.9333279	22.52661214	493333.5938	2492713.0	493087.7813	2492172.0	526	2.0	newwk_406.txt
1523007396.0	1523008699.0	113.9333195	22.52663086	113.9333195	22.52663086	493086.9375	2492174.0	493086.9375	2492174.0	1301	1.0	newwk_406.txt
1523008700.0	1523009177.0	113.9333195	22.52663086	113.9293509	22.52704915	493086.9375	2492174.0	492678.6875	2492220.5	478	2.0	newwk_406.txt
1523009178.0	1523009720.0	113.92935	22.52704807	113.9294689	22.52705973	492678.5938	2492220.5	492690.8125	2492221.75	542	1.0	newwk_406.txt
1523009721.0	1523010822.0	113.929467	22.52706082	113.9235099	22.52561551	492690.625	2492222.0	492077.7188	2492062.25	1098	2.0	newwk_406.txt
1523010823.0	1523024728.0	113.923504	22.52561795	113.93351640000002	22.52624837	492077.0938	2492062.5	493107.1563	2492131.75	13829	1.0	newwk_406.txt
1543656900.0	1543657252.0	113.9332172	22.52635273	113.9299479	22.52834579	493076.4063	2492143.25	492740.1563	2492364.25	353	2.0	wk_1201.txt
1543657253.0	1543657951.0	113.92994509999998	22.52834578	113.9298819	22.52827897	492739.875	2492364.25	492733.375	2492356.75	698	1.0	wk_1201.txt
1543657952.0	1543661565.0	113.9298771	22.52828161	113.9747003	22.62092389	492732.875	2492357.0	497345.8125	2502614.5	3607	5.0	wk_1201.txt
1543661566.0	1543661626.0	113.9746908	22.62093297	113.9743121	22.6213974	497344.8125	2502615.5	497305.9063	2502667.0	61	2.0	wk_1201.txt
1543661627.0	1543671253.0	113.9743121	22.62139791	113.9741757	22.62133421	497305.9063	2502667.0	497291.875	2502660.0	9606	1.0	wk_1201.txt
