Time	Long	Lat	X	Y	Ax	Ay	Az	time	A1	A2	A3	A4	A5
1510293554	113.936699	22.535016	380	415	-0.12280841	3.8941925000000004	8.919576	2017/11/10 13:59	493435.0	2493102.5	493361.7449824695	2493158.5003268817	3
1510293555	113.936525	22.535119	380	415	-0.9169324000000001	4.1439404	8.753387	2017/11/10 13:59	493417.0938	2493114.0	493371.5041194979	2493147.297060959	3
1510293556	113.936525	22.535119	380	415	-0.55620587	4.311253	8.588142	2017/11/10 13:59	493417.0938	2493114.0	493374.9039258272	2493145.5307478993	3
1510293557	113.936525	22.535119	380	415	-0.5652156999999999	4.224662	8.736074	2017/11/10 13:59	493417.0938	2493114.0	493375.38405142445	2493144.9515144816	3
1510293558	113.936525	22.535119	380	415	-0.58456075	4.369465	8.73461	2017/11/10 13:59	493417.0938	2493114.0	493375.72803985944	2493144.3973155688	3
1510293559	113.936525	22.535119	380	415	-0.49968386	3.9969084	8.833573	2017/11/10 13:59	493417.0938	2493114.0	493376.17356673564	2493144.272473468	3
1510293560	113.936525	22.535119	380	415	-0.54219466	4.050805	8.79464	2017/11/10 13:59	493417.0938	2493114.0	493376.5847144896	2493144.1948441532	3
1510293561	113.936525	22.535119	380	415	-0.47865242	3.9332507000000003	8.872631	2017/11/10 13:59	493417.0938	2493114.0	493377.0569910259	2493144.2878288757	3
1510293562	113.936525	22.535119	380	415	-0.35603184	3.834854	9.029802	2017/11/10 13:59	493417.0938	2493114.0	493377.39860890096	2493144.240826654	3
1510293563	113.936525	22.535119	380	415	-0.004318943	3.145512	9.154111	2017/11/10 13:59	493417.0938	2493114.0	493377.7801750581	2493144.298370581	3
1510293564	113.936525	22.535119	380	415	-3.0435474	-0.57780063	9.051771	2017/11/10 13:59	493417.0938	2493114.0	493378.12941734266	2493144.3511764873	3
1510293565	113.936525	22.535119	380	415	-0.46705344	-0.04917321400000001	9.637766000000001	2017/11/10 13:59	493417.0938	2493114.0	493378.3403277635	2493144.2690506415	3
1510293566	113.936525	22.535119	380	415	-0.027040388	-0.06008974	9.783928999999999	2017/11/10 13:59	493417.0938	2493114.0	493378.481443285	2493144.1408061497	3
1510293567	113.936525	22.535119	380	415	-0.021406973	-0.06346979	9.777168	2017/11/10 13:59	493417.0938	2493114.0	493378.8868793293	2493144.3447487527	3
1510293568	113.936525	22.535119	380	415	-0.020811137	-0.062249217	9.785655	2017/11/10 13:59	493417.0938	2493114.0	493378.9344953908	2493144.168836482	3
1510293569	113.936525	22.535119	380	415	-0.021219197999999998	-0.06666206	9.787685	2017/11/10 13:59	493417.0938	2493114.0	493379.16295861005	2493144.2160061984	3
1510293570	113.936525	22.535119	380	415	-0.023284782	-0.06253089	9.785806	2017/11/10 13:59	493417.0938	2493114.0	493379.2536620033	2493144.133356742	3
1510293571	113.936525	22.535119	380	415	-0.02486286	-0.060960035999999995	9.789521	2017/11/10 13:59	493417.0938	2493114.0	493379.5199477935	2493144.2549482104	3
1510293572	113.936525	22.535119	380	415	-0.026664825	-0.057648603	9.7767935	2017/11/10 13:59	493417.0938	2493114.0	493379.61033536616	2493144.2055058354	3
1510293573	113.936525	22.535119	380	415	-0.021219197999999998	-0.062343117	9.780924	2017/11/10 13:59	493417.0938	2493114.0	493379.8250173347	2493144.299375114	3
1510293574	113.936525	22.535119	380	415	-0.02366034	-0.058963064	9.780738000000001	2017/11/10 13:59	493417.0938	2493114.0	493379.8743925332	2493144.2339502354	3
1510293575	113.936525	22.535119	380	415	-0.028177898	-0.057092484000000006	9.777552	2017/11/10 13:59	493417.0938	2493114.0	493379.83227008145	2493144.0862440695	3
1510293576	113.936525	22.535119	380	415	-0.026664825	-0.0576486	9.788812	2017/11/10 13:59	493417.0938	2493114.0	493379.7776835256	2493143.936743666	3
1510293577	113.936525	22.535119	380	415	-0.02516258	-0.058775283	9.7767935	2017/11/10 13:59	493417.0938	2493114.0	493380.21799611574	2493144.300376835	3
1510293578	113.936525	22.535119	380	415	-0.025538143	-0.059338626	9.785618	2017/11/10 13:59	493417.0938	2493114.0	493380.360530077	2493144.36833285	3
1510293579	113.936525	22.535119	380	415	-0.025599536000000003	-0.061512545	9.789339	2017/11/10 13:59	493417.0938	2493114.0	493380.5041167931	2493144.444358047	3
1510293580	113.936525	22.535119	380	415	-0.026852607999999997	-0.054268558	9.785806	2017/11/10 13:59	493417.0938	2493114.0	493380.40711146797	2493144.283864104	3
1510293581	113.936525	22.535119	380	415	-0.029105974	-0.05896307	9.7890005	2017/11/10 13:59	493417.0938	2493114.0	493380.57622933836	2493144.397893096	3
1510293582	113.936525	22.535119	380	415	-0.021547811	-0.060039195999999996	9.780315	2017/11/10 13:59	493417.0938	2493114.0	493380.6129946712	2493144.383853638	3
