Time	Long	Lat	X	Y	Ax	Ay	Az	A1	A2	A3	A4	A5	Len5	Speed5	Acceleration5	displacement5	V_var5	A_var5	Point_density5	Len11	Speed11	Acceleration11	displacement11	V_var11	A_var11	Point_density11	Len21	Speed21	Acceleration21	displacement21	V_var21	A_var21	Point_density21	Len31	Speed31	Acceleration31	displacement31	V_var31	A_var31	Point_density31	Len61	Speed61	Acceleration61	displacement61	V_var61	A_var61	Point_density61	Len121	Speed121	Acceleration121	displacement121	V_var121	A_var121	Point_density121	Len301	Speed301	Acceleration301	displacement301	V_var301	A_var301	Point_density301	Len601	Speed601	Acceleration601	displacement601	V_var601	A_var601	Point_density601	fileName	trans_pattern	y_pred	filterPattern
1522289057.0	113.9364334	22.53500624	370.0	135.0	7.3902990000000015	-8.109722	0.45323446	493407.6563	2493101.5	493381.7002	2493114.657	3	1.627353635	0.325470727	0.041305932	0.8608134759999999	0.08121629	0.014217799	4.321046786	6.154167919	0.559469811	0.360197886	3.634934766	0.134114586	0.250287385	0.381262246	28.25696415	1.3455697219999998	1.2993689940000002	16.81518761	509.5036925	2727.803829	0.025362943	702.2104182999999	22.65194898	75.97076066	588.2164504	301.2356188	3102.031247	3.78e-05	1205.533965	19.76285189	131.1135004	135.4378189	66.7833708	3094.17355	7.26e-05	1350.012618	11.15712908	144.2677618	41.59520762	10.49754552	2315.724188	0.000126819	1424.802355	4.733562641000001	146.5964646	47.02513462	0.925841457	1083.974636	0.000284317	1706.031737	2.838655137	169.26194730000003	195.967342	0.267274683	969.175146	0.000516521	newmk_329.txt	8.0	8.0	8.0
1522289058.0	113.9364133	22.5350236	385.0	50.0	7.3654923	-8.097741000000001	-0.23436032	493405.5938	2493103.25	493381.8009	2493114.124	3	4.324700386	0.8649400770000001	0.292168087	3.902246195	0.07089327299999999	0.015187097	0.194606515	6.045380324	0.549580029	0.302730193	4.06528959	0.020288737	0.03402979	0.42285182	15.82965607	0.7537931459999999	0.010494963	7.23657882	452.0579741	2438.982753	0.282839581	702.5198134	22.66192946	76.05706338	587.9824547000002	304.4766599	3163.80548	3.52e-05	1205.715318	19.76582489	131.21403	135.54336630000003	70.20619376	3206.763371	7.219999999999999e-05	1350.214294	11.15879582	144.3660333	41.53426252	11.19217827	2417.462189	0.00012692	1424.115274	4.73127998	146.6232395	46.52815276	0.985765473	1136.649451	0.00028446900000000003	1704.863081	2.836710617	169.1773399	194.7812107	0.277208406	995.6867832	0.000516812	newmk_329.txt	8.0	8.0	8.0
1522289059.0	113.9363973	22.53503879	400.0	60.0	9.064757	-6.7175765	-0.72127664	493403.9688	2493105.0	493382.0245	2493113.726	3	4.231716016	0.846343203	0.248067666	4.065540338	0.041737158	0.009784765	0.341171206	8.873577003	0.8066888179999999	0.568340515	7.36109755	0.019841352	0.047348103	0.125647758	11.12904941	0.529954734	0.428327206	5.879185705	380.1275295	2051.200277	0.334329741	702.708748	22.66802413	76.13751368	587.9597864	304.69343189999995	3224.865741	3.28e-05	1205.776834	19.76683335	131.3086379	135.4969966	73.38579982	3311.664965	7.18e-05	1350.390834	11.16025482	144.4478608	41.57714331	11.87133365	2516.349991	0.00012702	1423.35251	4.728745881	146.5867782	45.84660506	1.045157044	1189.009194	0.00028462	1703.819193	2.834973699	169.1004702	193.716464	0.287097297	1022.111874	0.000517101	newmk_329.txt	8.0	8.0	8.0
1522289060.0	113.9363862	22.53505344	400.0	60.0	7.867711999999999	0.3843428	-4.4669184999999985	493402.8125	2493106.75	493381.9848	2493110.705	3	4.154914634	0.830982927	0.311033171	3.954186168	0.000909165	0.000427634	0.310874695	8.804320968999999	0.800392815	0.054623564000000006	7.744676342000001	0.015713685	0.041808345	0.156681078	10.63469494	0.506414045	0.17140397	6.319025606	293.8388742	1577.036578	0.380871151	702.7402963999997	22.66904182	76.80525562	587.9286781000002	301.8463792	3286.841608	3.06e-05	1209.40545	19.82631885	131.5767057	131.8815427	76.338942	3408.65736	7.13e-05	1350.991603	11.16521986	145.052356	41.90823332	12.53805834	2612.765333	0.00012712	1422.269191	4.725146815	147.10053	44.98008722	1.104247948	1241.312033	0.00028476900000000004	1702.360771	2.832547041	169.52527990000004	191.5782746	0.296976168	1048.557888	0.000517389	newmk_329.txt	8.0	8.0	8.0
1522289061.0	113.9363775	22.53506755	400.0	60.0	4.330941	4.3028903	0.021537637	493401.9063	2493108.25	493382.1783	2493110.62	3	3.928482334	0.7856964670000001	0.281760297	3.743354717	0.000605018	0.00041407300000000015	0.220973079	8.529476455	0.77540695	0.06033595	7.825461576	0.018660499	0.041726428	0.213392157	10.89744113	0.518925768	0.127239594	7.008954007000001	192.3946817	1026.494293	0.391577813	87.4875766	2.82217989	8.475679227999999	41.60566883	295.8356284	3348.42014	0.006120779	1209.717355	19.83143206	131.58906059999998	131.5696457	79.03415863	3497.788694	7.09e-05	1351.398769	11.16858487	145.0541264	42.08165353	13.18837589	2705.99462	0.000127219	1421.511999	4.722631225	147.0084759	44.20719338	1.162766207	1293.252819	0.000284915	1700.9155280000002	2.83014231	169.3992509	190.0417672	0.30679514	1074.929712	0.000517674	newmk_329.txt	8.0	8.0	8.0
1522289062.0	113.9363721	22.53508084	380.0	35.0	5.3058809999999985	0.8962315999999999	2.2515604	493401.375	2493109.75	493382.0347	2493110.176	3	3.973707929	0.7947415859999999	0.290899093	3.769123009	0.001697753	0.000487624	0.209747961	8.281321603	0.752847418	0.123847477	7.848741382	0.022441284	0.041649655	0.170045212	10.69297965	0.509189507	0.17948402100000002	7.188098243	164.1200273	873.4146085000001	0.35529135799999995	30.16465254	0.973053308	2.131397939	16.13162326	286.7837228	3313.275636	0.037711153	1210.005265	19.83615188	131.6606836	131.39766029999998	81.48273691	3579.484526	7.049999999999999e-05	1351.824754	11.1721054	145.11040769999997	42.07355844	13.8233044	2796.228321	0.000127316	1420.80817	4.720292925	147.00075080000005	43.8722774	1.220781807	1344.868492	0.000285059	1699.710127	2.8281366510000003	169.3631363	188.9482119	0.316568385	1101.238103	0.000517957	newmk_329.txt	8.0	8.0	8.0
1522289063.0	113.9363685	22.53509386	400.0	50.0	2.0592265	-6.61002	8.151271000000001	493401.0	2493111.0	493382.1621	2493109.985	3	3.944804829	0.788960966	0.283573908	3.836303608	0.002614976	0.000866885	0.356917185	7.867600702000001	0.715236427	0.100261263	7.1878317260000015	0.025797031	0.041457656	0.158294049	10.6635258	0.5077869429999999	0.15858165	7.121709044	130.8767795	694.1112404	0.308081957	17.821896	0.5748998710000001	0.76357409	6.597424387	274.6742206	3189.71588	0.365279989	1210.070436	19.83722027	131.7045671	131.3708963	83.68206971	3653.741982	7.01e-05	1352.205746	11.1752541	145.1192	42.06223848	14.44252248	2883.410652	0.000127413	1419.702986	4.716621217	146.875498	43.30481653	1.278242399	1396.1416	0.000285201	1698.918557	2.826819562	169.26939309999997	188.1162706	0.326284466	1127.47507	0.000518239	newmk_329.txt	8.0	8.0	8.0
1522289064.0	113.9363805	22.53511882	380.0	35.0	3.5354686	-5.5649877	8.287306	493402.2188	2493113.75	493381.7963	2493106.941	3	3.526968022	0.7053936040000001	0.34053686	3.41032326	0.071255763	0.016157618000000002	0.3817315570000001	7.491997132000001	0.681090648	0.7218493890000001	6.720279588	0.043138417000000005	0.045157413	0.142700996	10.61481864	0.505467554	0.792481708	7.18738582	92.7392346	488.6122405	0.268992297	13.31644752	0.429562823	0.8829220729999999	5.6365150360000005	259.5816091	3016.113228	0.433857959	1210.389351	19.84244838	132.3504295	131.1762728	85.65563499	3720.676285	6.97e-05	1352.264937	11.17574328	145.7939206	42.08915676	15.04951842	2968.239791	0.000127509	1419.278154	4.715209813	147.492888	43.01270282	1.335423657	1447.353061	0.000285343	1698.190218	2.825607684	169.8360704	188.0215396	0.335992928	1153.759509	0.000518518	newmk_329.txt	8.0	8.0	8.0
1522289065.0	113.9364149	22.53514513	380.0	35.0	3.9102795	-5.2315903	7.90253	493405.7813	2493116.75	493381.6605	2493106.819	3	3.353285758	0.670657152	0.349298249	3.2134835410000004	0.102449587	0.024493434	0.245839329	4.546029606	0.413275419	0.418519921	3.763576708	0.052069451	0.038584702	0.538262791	10.39446444	0.494974497	0.801575277	7.417670685	49.21165763	258.7371903	0.235949177	12.83631002	0.414074517	0.850414392	6.051519685	241.2617597	2803.09826	0.403225435	1210.442093	19.84331299	132.3851575	131.1416594	87.36812341	3779.521974	6.929999999999999e-05	1352.385648	11.17674089	145.82109640000004	41.97372725	15.64004678	3049.875478	0.000127606	1418.744315	4.713436263	147.4248291	42.51655724	1.392001623	1498.204174	0.000285484	1697.533171	2.824514428	169.7778677	187.2020581	0.345640919	1179.961556	0.000518795	newmk_329.txt	8.0	8.0	8.0
1522289066.0	113.93645320000002	22.53516059	380.0	35.0	1.2574961	-1.9026302	9.540462	493409.7188	2493118.5	493381.6206	2493106.791	3	0.416786187	0.083357237	0.005038899	0.103856486	0.091378936	0.027468997	87.37492891	4.876142392	0.443285672	0.345590057	4.153272164	0.054044095999999986	0.039902225	0.426086655	10.13948178	0.482832466	0.7688301259999999	7.387587397999999	0.652890604	2.49039449	0.207958085	12.82815252	0.413811372	0.800099763	6.509779028	219.85597630000004	2554.021126	0.373368131	1210.574991	19.84549165	132.3811514	131.0250188	88.83073913	3830.79629	6.890000000000001e-05	1352.475286	11.17748171	145.8218969	41.88674365	16.21485411	3128.474605	0.00012770200000000002	1418.361023	4.712162868	147.38924519999995	42.62306171	1.448020083	1548.717907	0.000285623	1696.254284	2.822386496	169.6315508	185.9482542	0.355234984	1206.080251	0.00051907	newmk_329.txt	8.0	8.0	8.0
